Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
06/03/2024,12:11:37,bsc,0xb3d5fd64b4db741cb936382437b67d7652a02fe18f0e5805b45527bd79d28e1d,https://bscscan.com/tx/0xb3d5fd64b4db741cb936382437b67d7652a02fe18f0e5805b45527bd79d28e1d,receive,0xb7ce4eb0a4bbae719225e3252d8896b097f5a11d,,USDT,token,240,240.11879999999996,no,
06/03/2024,11:34:04,bsc,0xf676ddbcdcb66c52a006c54c2ce4499b6718bb4c059692601fd5f972acfed544,https://bscscan.com/tx/0xf676ddbcdcb66c52a006c54c2ce4499b6718bb4c059692601fd5f972acfed544,receive,0x6664453168ce0169520468ec49041bdb6c4cc5f8,,USDC,token,89.54,89.54,no,
06/03/2024,11:14:05,bsc,0x298c4c6469a2a9208f0079cde18b03b61ca79f4273c1921ad80ba0ff175ffd9b,https://bscscan.com/tx/0x298c4c6469a2a9208f0079cde18b03b61ca79f4273c1921ad80ba0ff175ffd9b,receive,0x5a0e4f6b7f072ed8f669094462fdd6027b136dd4,,USDT,token,476.6,476.835917,no,
06/03/2024,00:46:47,eth,0x238e58c7ef2d7c22089a33b01c7298ef6949b29ceec5e313df2f150a54403709,https://etherscan.io/tx/0x238e58c7ef2d7c22089a33b01c7298ef6949b29ceec5e313df2f150a54403709,receive,0xe4ead4d5e7cbc635535d141eb0fe23a196bc0866,,USDT,token,94,94.11609000000001,no,
06/03/2024,00:24:49,bsc,0x8a1a1db327f72063aafe426ca26a2592b808063488cb2026f44219a4503aacb8,https://bscscan.com/tx/0x8a1a1db327f72063aafe426ca26a2592b808063488cb2026f44219a4503aacb8,receive,0x1ebf7b45c4a2160642997f816e7101cf7dab01fc,,USDT,token,100,100.1235,no,
05/03/2024,22:47:43,bsc,0x646d400d505a3900f931e92878f67ccff0262c7953150c90817d60f8b8f61531,https://bscscan.com/tx/0x646d400d505a3900f931e92878f67ccff0262c7953150c90817d60f8b8f61531,receive,0xd6178d6feba90d64d302f24b45ef43338c46fa46,,USDT,token,130,130.16055,no,
05/03/2024,22:26:55,bsc,0xf230179f15d7f9fb605f5ca43ca5cb56272d3ac4f2a72ee78beee2a36d2b6af9,https://bscscan.com/tx/0xf230179f15d7f9fb605f5ca43ca5cb56272d3ac4f2a72ee78beee2a36d2b6af9,receive,0x15230dcddeea137b03fdcb45fe5238b2243d5e1d,,USDT,token,40,40.049400000000006,no,
05/03/2024,22:19:54,matic,0xe4213f988323ca8fd83a0ce4896dfe8bd276e7048d7f0d8a0ebd51407c953f40,https://polygonscan.com/tx/0xe4213f988323ca8fd83a0ce4896dfe8bd276e7048d7f0d8a0ebd51407c953f40,receive,0x47a439c55b282be986ea07e1b5fc81cd3fa41148,,USDT,token,130,130.16055,no,
05/03/2024,22:14:13,bsc,0x806078a10656b0c7d0f24c43314c9b630c6aa3b145865527c03fdaae53b0c31b,https://bscscan.com/tx/0x806078a10656b0c7d0f24c43314c9b630c6aa3b145865527c03fdaae53b0c31b,receive,0x23abe8d9f748251a24173d935652f77498adc8b9,,USDT,token,45,45.055575000000005,no,
05/03/2024,21:40:41,bsc,0xa7a3ac66e0cd16da5149abcf91a610549ed950ea899df4dc18bae3439bccf9ce,https://bscscan.com/tx/0xa7a3ac66e0cd16da5149abcf91a610549ed950ea899df4dc18bae3439bccf9ce,receive,0x4a5ebe143d7297f37d867f100b0ff87be469d409,,USDT,token,112,112.13832000000001,no,
05/03/2024,20:55:53,bsc,0x28d79c0ab4466c0803b4ef8766d9cc22225e01b695aad38e4f7c20c5cff0b98a,https://bscscan.com/tx/0x28d79c0ab4466c0803b4ef8766d9cc22225e01b695aad38e4f7c20c5cff0b98a,receive,0x88daeef785f99f664c094fc0106ddbdbc2226067,,USDT,token,69.48963709711619,69.57545679893113,no,
05/03/2024,19:52:51,bsc,0xd06e1a1571b13767006a7a4097dd55bbe36c3559d12bb784c2ae512e75a8d470,https://bscscan.com/tx/0xd06e1a1571b13767006a7a4097dd55bbe36c3559d12bb784c2ae512e75a8d470,receive,0x88daeef785f99f664c094fc0106ddbdbc2226067,,USDT,token,7.47,7.47922545,no,
05/03/2024,13:10:35,eth,0x6b694f7292119c451735415af6cf508a12ad700205ea84767dbce19a5b0570fa,https://etherscan.io/tx/0x6b694f7292119c451735415af6cf508a12ad700205ea84767dbce19a5b0570fa,receive,0x4e4bf261e80421f1f749ee84579f194f76018c53,,USDT,token,150,150.18525000000002,no,
05/03/2024,12:03:46,bsc,0x9425307777eefdddff1304a25d4a4d4a33689e41b6c2e076f8b75024efe36427,https://bscscan.com/tx/0x9425307777eefdddff1304a25d4a4d4a33689e41b6c2e076f8b75024efe36427,receive,0x857675cd2d347a87b47af0e17b7bed8c46a99a8c,,USDC,token,222,222,no,
05/03/2024,11:47:30,bsc,0xb4b5c7eea7e11a8dc7e6374066c2e7cd36449f6899bfc6828dcb679d428fd670,https://bscscan.com/tx/0xb4b5c7eea7e11a8dc7e6374066c2e7cd36449f6899bfc6828dcb679d428fd670,receive,0x47a439c55b282be986ea07e1b5fc81cd3fa41148,,USDT,token,48,48.05928,no,
05/03/2024,11:45:57,bsc,0x55ffb785bbabf398b41a59c8c0951cc4d8861b21a95c819cd4aa1a7f75adff84,https://bscscan.com/tx/0x55ffb785bbabf398b41a59c8c0951cc4d8861b21a95c819cd4aa1a7f75adff84,receive,0x47a439c55b282be986ea07e1b5fc81cd3fa41148,,USDT,token,0.0083,0.008310250500000001,no,
04/03/2024,23:47:47,eth,0xb37dd0b8feec1c462ad53173d981ca8b058d538cf474789f561537c3f16adb19,https://etherscan.io/tx/0xb37dd0b8feec1c462ad53173d981ca8b058d538cf474789f561537c3f16adb19,receive,0x9e8800fa592957ef0b68812ade47bc60a7d0ee1e,,USDT,token,5033,5039.266084999999,no,
04/03/2024,23:45:53,bsc,0xd5d9eac41fbe2a5db4da183cb03040d62dfe5e957c82208dbec67c2c30f80767,https://bscscan.com/tx/0xd5d9eac41fbe2a5db4da183cb03040d62dfe5e957c82208dbec67c2c30f80767,receive,0x59fc9427e03cbbd5435662b9d547e3996a4f894f,,USDT,token,1,1.001245,no,
04/03/2024,20:52:52,bsc,0x619404f7912e350775603172cf6fdf79f02301a3c2648c3ddbf068af583960fb,https://bscscan.com/tx/0x619404f7912e350775603172cf6fdf79f02301a3c2648c3ddbf068af583960fb,receive,0x61053e4958e3e2330c60e29888931e8d3d332c7c,,USDT,token,209,209.26020499999998,no,
